order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
ORD_0000001,CUST_000283,delivered,2023-11-30 08:33:29,2023-11-30 09:33:29,2023-12-05 09:33:29,2023-12-03 08:33:29,2023-12-01 08:33:29
ORD_0000002,CUST_000213,delivered,2023-06-03 04:36:37,2023-06-04 18:36:37,2023-06-05 18:36:37,2023-06-10 04:36:37,2023-06-08 04:36:37
ORD_0000003,CUST_000289,shipped,2025-03-09 03:50:18,2025-03-10 14:50:18,2025-03-14 14:50:18,,2025-03-22 03:50:18
ORD_0000004,CUST_000312,delivered,2024-04-29 01:11:17,2024-04-30 03:11:17,2024-05-05 03:11:17,2024-05-13 01:11:17,2024-05-20 01:11:17
ORD_0000005,CUST_000356,delivered,2024-02-16 01:25:56,2024-02-16 23:25:56,2024-02-17 23:25:56,2024-03-01 01:25:56,2024-03-03 01:25:56
ORD_0000006,CUST_000011,shipped,2023-12-12 09:19:17,2023-12-13 17:19:17,2023-12-14 17:19:17,,2023-12-21 09:19:17
ORD_0000007,CUST_000069,delivered,2023-11-04 23:28:49,2023-11-05 20:28:49,2023-11-09 20:28:49,2023-11-14 23:28:49,2023-11-18 23:28:49
ORD_0000008,CUST_000109,shipped,2025-04-23 13:47:31,2025-04-24 23:47:31,2025-04-25 23:47:31,,2025-05-12 13:47:31
ORD_0000009,CUST_000406,delivered,2023-06-12 02:19:45,2023-06-13 11:19:45,2023-06-18 11:19:45,2023-06-22 02:19:45,2023-06-22 02:19:45
ORD_0000010,CUST_000449,delivered,2023-07-25 01:15:02,2023-07-26 07:15:02,2023-07-29 07:15:02,2023-08-05 01:15:02,2023-08-05 01:15:02
ORD_0000011,CUST_000141,processing,2024-01-13 14:32:25,2024-01-15 07:32:25,,,2024-02-01 14:32:25
ORD_0000012,CUST_000305,delivered,2024-04-01 05:55:30,2024-04-02 19:55:30,2024-04-05 19:55:30,2024-04-14 05:55:30,2024-04-13 05:55:30
ORD_0000013,CUST_000429,delivered,2023-09-22 23:53:44,2023-09-23 05:53:44,2023-09-27 05:53:44,2023-10-09 23:53:44,2023-10-09 23:53:44
ORD_0000014,CUST_000439,delivered,2023-08-15 20:14:43,2023-08-16 10:14:43,2023-08-20 10:14:43,2023-08-31 20:14:43,2023-09-05 20:14:43
ORD_0000015,CUST_000011,delivered,2025-03-10 21:00:30,2025-03-11 06:00:30,2025-03-16 06:00:30,2025-03-27 21:00:30,2025-04-02 21:00:30
ORD_0000016,CUST_000413,delivered,2023-11-09 22:45:41,2023-11-10 16:45:41,2023-11-14 16:45:41,2023-11-15 22:45:41,2023-11-17 22:45:41
ORD_0000017,CUST_000236,delivered,2023-09-16 06:29:19,2023-09-18 02:29:19,2023-09-23 02:29:19,2023-10-01 06:29:19,2023-10-06 06:29:19
ORD_0000018,CUST_000340,delivered,2024-01-19 17:41:38,2024-01-21 08:41:38,2024-01-22 08:41:38,2024-01-28 17:41:38,2024-02-01 17:41:38
ORD_0000019,CUST_000033,delivered,2023-12-11 08:40:20,2023-12-12 02:40:20,2023-12-15 02:40:20,2023-12-23 08:40:20,2023-12-23 08:40:20
ORD_0000020,CUST_000461,delivered,2023-02-28 19:25:42,2023-03-01 16:25:42,2023-03-02 16:25:42,2023-03-11 19:25:42,2023-03-18 19:25:42
ORD_0000021,CUST_000255,delivered,2023-10-30 08:58:26,2023-10-31 10:58:26,2023-11-01 10:58:26,2023-11-04 08:58:26,2023-11-04 08:58:26
ORD_0000022,CUST_000176,delivered,2025-01-13 22:14:43,2025-01-15 09:14:43,2025-01-19 09:14:43,2025-01-16 22:14:43,2025-01-23 22:14:43
ORD_0000023,CUST_000184,shipped,2024-06-03 09:54:10,2024-06-05 04:54:10,2024-06-07 04:54:10,,2024-06-11 09:54:10
ORD_0000024,CUST_000372,canceled,2025-04-07 17:48:58,2025-04-08 05:48:58,,,2025-04-20 17:48:58
ORD_0000025,CUST_000336,shipped,2023-04-02 07:22:14,2023-04-04 07:22:14,2023-04-08 07:22:14,,2023-04-14 07:22:14
ORD_0000026,CUST_000300,delivered,2023-10-29 14:54:07,2023-10-30 21:54:07,2023-11-04 21:54:07,2023-11-11 14:54:07,2023-11-17 14:54:07
ORD_0000027,CUST_000484,delivered,2024-09-27 02:30:56,2024-09-27 15:30:56,2024-10-01 15:30:56,2024-10-02 02:30:56,2024-10-01 02:30:56
ORD_0000028,CUST_000071,delivered,2023-07-25 10:26:36,2023-07-26 16:26:36,2023-07-28 16:26:36,2023-08-07 10:26:36,2023-08-05 10:26:36
ORD_0000029,CUST_000250,delivered,2023-12-07 20:11:20,2023-12-09 13:11:20,2023-12-13 13:11:20,2023-12-14 20:11:20,2023-12-13 20:11:20
ORD_0000030,CUST_000296,delivered,2025-02-21 05:31:50,2025-02-21 11:31:50,2025-02-25 11:31:50,2025-03-12 05:31:50,2025-03-19 05:31:50
ORD_0000031,CUST_000220,delivered,2024-02-18 13:30:24,2024-02-18 14:30:24,2024-02-20 14:30:24,2024-02-29 13:30:24,2024-03-02 13:30:24
ORD_0000032,CUST_000388,delivered,2024-06-27 06:01:43,2024-06-27 07:01:43,2024-06-29 07:01:43,2024-06-28 06:01:43,2024-06-28 06:01:43
ORD_0000033,CUST_000356,delivered,2023-12-19 09:08:06,2023-12-20 10:08:06,2023-12-23 10:08:06,2024-01-04 09:08:06,2024-01-05 09:08:06
ORD_0000034,CUST_000486,delivered,2023-10-25 14:46:33,2023-10-27 05:46:33,2023-10-31 05:46:33,2023-11-10 14:46:33,2023-11-17 14:46:33
