product_id,product_category_name,product_category_name_english,product_name_length,product_description_length,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
PROD_00001,auto,Auto,28,1825,6,7683,18,50,24
PROD_00002,health_beauty,Health & Beauty,33,1135,4,12329,17,44,66
PROD_00003,telephony,Telephony,51,132,1,17539,80,31,6
PROD_00004,health_beauty,Health & Beauty,53,1579,3,17655,46,6,69
PROD_00005,food_drink,Food & Drink,64,1480,4,26516,32,11,17
PROD_00006,baby,Baby,29,593,2,20408,77,21,50
PROD_00007,computers_accessories,Computers & Accessories,70,912,1,12324,61,34,77
PROD_00008,sports_leisure,Sports & Leisure,64,562,3,22514,20,46,9
PROD_00009,watches_gifts,Watches & Gifts,45,876,4,18210,70,8,6
PROD_00010,electronics,Electronics,30,269,4,27799,65,46,47
PROD_00011,toys,Toys,74,295,5,1494,39,18,77
PROD_00012,garden_tools,Garden Tools,37,195,1,22527,45,39,77
PROD_00013,telephony,Telephony,22,467,3,613,36,42,23
PROD_00014,stationery,Stationery,72,1559,4,2621,48,15,77
PROD_00015,sports_leisure,Sports & Leisure,56,1809,4,22285,79,26,54
PROD_00016,stationery,Stationery,67,386,6,23829,20,37,49
PROD_00017,health_beauty,Health & Beauty,26,995,2,27581,19,26,55
PROD_00018,stationery,Stationery,40,160,6,9056,67,36,34
PROD_00019,furniture_decor,Furniture & Decor,55,868,4,6186,97,42,53
PROD_00020,watches_gifts,Watches & Gifts,69,1366,3,26250,41,50,14
PROD_00021,watches_gifts,Watches & Gifts,37,415,4,23420,91,14,54
PROD_00022,furniture_decor,Furniture & Decor,43,318,1,270,49,33,51
PROD_00023,stationery,Stationery,37,309,2,2960,33,32,62
PROD_00024,baby,Baby,55,1149,4,3484,13,10,50
PROD_00025,baby,Baby,25,1322,5,25804,51,60,54
PROD_00026,health_beauty,Health & Beauty,38,947,4,25631,20,51,76
PROD_00027,fashion_bags,Fashion Bags,35,1271,5,5656,97,29,26
PROD_00028,bed_bath_table,Bed Bath Table,37,716,3,16258,28,9,26
PROD_00029,auto,Auto,37,962,3,15967,19,28,37
PROD_00030,sports_leisure,Sports & Leisure,66,1380,4,19557,88,17,63
PROD_00031,watches_gifts,Watches & Gifts,28,723,1,13066,52,58,53
PROD_00032,stationery,Stationery,75,774,4,11068,65,57,22
PROD_00033,computers_accessories,Computers & Accessories,40,1335,6,6681,71,25,27
PROD_00034,auto,Auto,40,696,6,22872,91,36,78
PROD_00035,stationery,Stationery,35,767,4,9284,60,28,19
PROD_00036,fashion_bags,Fashion Bags,56,509,5,17979,33,48,75
PROD_00037,health_beauty,Health & Beauty,80,1589,4,23311,36,33,42
PROD_00038,food_drink,Food & Drink,64,241,4,22152,73,13,43
PROD_00039,sports_leisure,Sports & Leisure,36,1448,2,23536,64,55,53
PROD_00040,watches_gifts,Watches & Gifts,48,1324,4,19178,61,39,69
PROD_00041,fashion_bags,Fashion Bags,78,1881,6,13806,79,7,51
PROD_00042,electronics,Electronics,77,1763,5,19558,91,10,18
PROD_00043,stationery,Stationery,35,1446,6,11732,31,46,10
PROD_00044,toys,Toys,61,1487,6,13194,52,55,60
PROD_00045,watches_gifts,Watches & Gifts,20,301,3,7374,75,52,71
PROD_00046,baby,Baby,57,1508,5,7342,67,28,55
PROD_00047,garden_tools,Garden Tools,69,1491,5,22724,74,14,49
PROD_00048,health_beauty,Health & Beauty,50,314,3,13730,20,12,23
PROD_00049,furniture_decor,Furniture & Decor,39,802,4,25798,36,38,66
PROD_00050,furniture_decor,Furniture & Decor,50,299,4,23758,99,33,45
PROD_00051,watches_gifts,Watches & Gifts,39,191,6,3871,12,59,48
PROD_00052,telephony,Telephony,26,1486,2,24364,41,38,27
PROD_00053,baby,Baby,30,777,5,14071,69,19,56
PROD_00054,telephony,Telephony,31,481,6,21638,65,30,8
PROD_00055,electronics,Electronics,59,1908,2,14831,85,32,54
PROD_00056,health_beauty,Health & Beauty,65,539,2,9220,100,56,13
PROD_00057,toys,Toys,26,1737,5,6226,56,25,30
PROD_00058,garden_tools,Garden Tools,27,637,6,28366,72,38,45
PROD_00059,toys,Toys,44,1351,4,19334,24,27,50
PROD_00060,food_drink,Food & Drink,49,1364,2,26764,96,50,43
PROD_00061,fashion_bags,Fashion Bags,59,1308,1,22123,27,25,20
PROD_00062,sports_leisure,Sports & Leisure,39,339,2,12332,98,14,70
PROD_00063,auto,Auto,46,1321,2,18935,59,32,28
PROD_00064,garden_tools,Garden Tools,60,1200,6,21243,32,40,26
PROD_00065,garden_tools,Garden Tools,38,387,2,10408,67,44,11
PROD_00066,food_drink,Food & Drink,42,119,4,4573,34,57,54
PROD_00067,baby,Baby,52,1437,4,13506,97,36,58
PROD_00068,electronics,Electronics,73,1009,4,5580,20,41,8
PROD_00069,stationery,Stationery,68,551,3,1171,45,19,73
PROD_00070,computers_accessories,Computers & Accessories,30,1698,4,18635,73,40,70
PROD_00071,watches_gifts,Watches & Gifts,56,333,3,25498,79,57,51
PROD_00072,baby,Baby,72,1649,1,25003,66,39,32
PROD_00073,auto,Auto,26,1607,6,24720,41,24,9
PROD_00074,garden_tools,Garden Tools,36,813,1,14487,25,54,35
PROD_00075,sports_leisure,Sports & Leisure,71,1610,5,22681,54,60,59
PROD_00076,bed_bath_table,Bed Bath Table,59,385,2,26757,36,56,12
PROD_00077,toys,Toys,42,1190,3,19657,78,15,46
PROD_00078,electronics,Electronics,38,692,5,8860,75,48,17
PROD_00079,bed_bath_table,Bed Bath Table,68,1709,4,2042,45,60,21
PROD_00080,electronics,Electronics,75,371,2,4892,51,58,36
PROD_00081,stationery,Stationery,73,1484,4,16138,28,41,39
PROD_00082,telephony,Telephony,46,868,4,2574,91,55,16
PROD_00083,auto,Auto,52,1635,3,22864,57,34,67
PROD_00084,furniture_decor,Furniture & Decor,57,105,6,3152,68,45,50
PROD_00085,food_drink,Food & Drink,24,1729,5,13132,37,32,32
PROD_00086,garden_tools,Garden Tools,37,761,3,11167,80,41,21
PROD_00087,toys,Toys,74,1093,3,29399,97,53,11
PROD_00088,health_beauty,Health & Beauty,26,1382,4,633,25,59,25
PROD_00089,garden_tools,Garden Tools,49,101,4,6729,98,13,43
PROD_00090,bed_bath_table,Bed Bath Table,75,1895,3,3158,93,28,37
PROD_00091,watches_gifts,Watches & Gifts,43,1460,6,5523,16,30,44
PROD_00092,electronics,Electronics,64,1646,2,14165,93,10,17
PROD_00093,health_beauty,Health & Beauty,33,1076,1,4448,85,19,71
PROD_00094,telephony,Telephony,48,119,1,22893,53,57,20
PROD_00095,food_drink,Food & Drink,47,1521,2,15753,19,19,54
PROD_00096,watches_gifts,Watches & Gifts,66,1750,1,3481,50,28,43
PROD_00097,bed_bath_table,Bed Bath Table,44,1684,2,21123,96,14,13
PROD_00098,baby,Baby,56,117,5,21399,31,33,49
PROD_00099,electronics,Electronics,33,1386,6,5060,62,44,61
PROD_00100,food_drink,Food & Drink,33,277,1,4687,25,42,54
PROD_00101,furniture_decor,Furniture & Decor,47,744,2,8219,45,46,15
PROD_00102,sports_leisure,Sports & Leisure,55,1330,5,23731,87,23,8
PROD_00103,food_drink,Food & Drink,74,1448,3,6832,76,43,70
PROD_00104,sports_leisure,Sports & Leisure,67,902,3,21273,16,55,35
PROD_00105,garden_tools,Garden Tools,44,330,2,16470,91,43,14
PROD_00106,baby,Baby,76,124,3,10470,26,29,77
