review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp
REV_000001,ORD_0000001,5,Good,Great product!,2023-12-17 08:33:29,2023-12-22 08:33:29
REV_000002,ORD_0000002,4,Bad,Average,2023-06-26 04:36:37,2023-06-30 04:36:37
REV_000003,ORD_0000004,5,Excellent,Love it,2024-05-23 01:11:17,2024-05-27 01:11:17
REV_000004,ORD_0000005,5,,Average,2024-03-13 01:25:56,2024-03-17 01:25:56
REV_000005,ORD_0000009,5,Terrible,Not as described,2023-07-26 02:19:45,2023-07-31 02:19:45
REV_000006,ORD_0000010,1,Good,,2023-08-19 01:15:02,2023-08-23 01:15:02
REV_000007,ORD_0000012,5,OK,Not as described,2024-04-17 05:55:30,2024-04-19 05:55:30
REV_000008,ORD_0000013,5,OK,Recommend,2023-10-17 23:53:44,2023-10-20 23:53:44
REV_000009,ORD_0000014,5,Bad,Good quality,2023-09-19 20:14:43,2023-09-21 20:14:43
REV_000010,ORD_0000015,4,OK,Fast delivery,2025-03-16 21:00:30,2025-03-20 21:00:30
REV_000011,ORD_0000016,2,Good,Great product!,2023-12-22 22:45:41,2023-12-25 22:45:41
REV_000012,ORD_0000017,5,Excellent,Average,2023-09-30 06:29:19,2023-10-01 06:29:19
REV_000013,ORD_0000019,5,Good,Great product!,2024-01-11 08:40:20,2024-01-13 08:40:20
REV_000014,ORD_0000020,4,OK,Recommend,2023-04-11 19:25:42,2023-04-15 19:25:42
REV_000015,ORD_0000021,5,Terrible,Not as described,2023-11-13 08:58:26,2023-11-15 08:58:26
REV_000016,ORD_0000022,5,,Not as described,2025-01-29 22:14:43,2025-02-02 22:14:43
REV_000017,ORD_0000027,5,Terrible,,2024-10-03 02:30:56,2024-10-08 02:30:56
REV_000018,ORD_0000028,4,Good,,2023-08-05 10:26:36,2023-08-10 10:26:36
REV_000019,ORD_0000029,1,Excellent,Love it,2023-12-29 20:11:20,2023-12-31 20:11:20
REV_000020,ORD_0000030,2,Good,Good quality,2025-03-03 05:31:50,2025-03-04 05:31:50
REV_000021,ORD_0000031,3,Bad,Average,2024-02-27 13:30:24,2024-03-03 13:30:24
REV_000022,ORD_0000032,5,Excellent,Good quality,2024-07-25 06:01:43,2024-07-29 06:01:43
REV_000023,ORD_0000033,4,Bad,Great product!,2024-01-18 09:08:06,2024-01-19 09:08:06
REV_000024,ORD_0000034,1,Bad,Love it,2023-11-19 14:46:33,2023-11-24 14:46:33
REV_000025,ORD_0000036,4,Terrible,Great product!,2025-02-03 00:37:32,2025-02-04 00:37:32
REV_000026,ORD_0000037,3,OK,Perfect!,2024-11-23 08:49:34,2024-11-28 08:49:34
REV_000027,ORD_0000038,5,Bad,Not as described,2025-01-14 03:26:28,2025-01-18 03:26:28
REV_000028,ORD_0000039,5,Terrible,Fast delivery,2023-06-30 06:44:43,2023-07-05 06:44:43
REV_000029,ORD_0000040,3,Terrible,Good quality,2024-10-05 22:08:26,2024-10-06 22:08:26
REV_000030,ORD_0000041,5,Good,Good quality,2023-05-29 03:31:12,2023-05-30 03:31:12
REV_000031,ORD_0000042,1,,Average,2024-03-04 09:10:02,2024-03-06 09:10:02
REV_000032,ORD_0000044,5,Bad,Perfect!,2023-04-15 16:04:46,2023-04-20 16:04:46
REV_000033,ORD_0000045,4,,Perfect!,2024-04-24 09:16:29,2024-04-29 09:16:29
REV_000034,ORD_0000046,5,Excellent,OK,2024-12-25 10:27:47,2024-12-30 10:27:47
REV_000035,ORD_0000047,3,,,2023-06-29 21:41:10,2023-07-01 21:41:10
REV_000036,ORD_0000048,2,,Great product!,2025-05-24 10:11:07,2025-05-26 10:11:07
REV_000037,ORD_0000049,4,Terrible,Good quality,2024-02-05 22:54:30,2024-02-06 22:54:30
REV_000038,ORD_0000051,4,Excellent,Took too long,2023-07-20 19:24:49,2023-07-22 19:24:49
REV_000039,ORD_0000052,4,,Took too long,2023-02-28 02:16:41,2023-03-01 02:16:41
REV_000040,ORD_0000053,1,Excellent,Recommend,2024-08-21 07:42:55,2024-08-26 07:42:55
REV_000041,ORD_0000054,5,Terrible,Good quality,2024-01-30 21:43:41,2024-02-03 21:43:41
REV_000042,ORD_0000056,5,Excellent,Great product!,2023-10-15 10:17:03,2023-10-16 10:17:03
REV_000043,ORD_0000057,5,Good,Perfect!,2023-09-30 02:29:28,2023-10-04 02:29:28
REV_000044,ORD_0000058,5,Excellent,Recommend,2024-11-16 00:06:25,2024-11-21 00:06:25
REV_000045,ORD_0000060,3,Good,Perfect!,2025-05-13 01:52:14,2025-05-17 01:52:14
REV_000046,ORD_0000061,2,Terrible,Fast delivery,2025-01-29 21:23:45,2025-02-03 21:23:45
REV_000047,ORD_0000062,5,Good,Not as described,2025-04-29 09:35:33,2025-05-03 09:35:33
REV_000048,ORD_0000064,4,,Fast delivery,2024-04-24 06:45:21,2024-04-26 06:45:21
REV_000049,ORD_0000065,5,Good,Recommend,2024-12-04 18:07:49,2024-12-09 18:07:49
REV_000050,ORD_0000067,5,Terrible,Recommend,2023-08-07 22:37:11,2023-08-10 22:37:11
REV_000051,ORD_0000068,5,Terrible,Fast delivery,2024-03-12 13:38:58,2024-03-17 13:38:58
REV_000052,ORD_0000069,5,OK,Perfect!,2023-12-24 09:28:51,2023-12-28 09:28:51
REV_000053,ORD_0000070,5,Terrible,Took too long,2025-01-20 17:55:20,2025-01-25 17:55:20
REV_000054,ORD_0000071,5,Excellent,Fast delivery,2023-09-02 06:39:45,2023-09-05 06:39:45
REV_000055,ORD_0000072,1,OK,OK,2024-07-22 22:40:20,2024-07-26 22:40:20
REV_000056,ORD_0000073,3,Terrible,Fast delivery,2024-09-25 18:42:45,2024-09-28 18:42:45
REV_000057,ORD_0000074,4,Terrible,Recommend,2023-05-29 00:24:09,2023-06-03 00:24:09
REV_000058,ORD_0000075,4,Good,,2025-04-20 05:18:43,2025-04-21 05:18:43
REV_000059,ORD_0000076,5,Terrible,Not as described,2024-01-17 14:06:39,2024-01-21 14:06:39
REV_000060,ORD_0000077,5,Excellent,Not as described,2024-03-04 07:32:50,2024-03-06 07:32:50
REV_000061,ORD_0000078,4,Good,Took too long,2024-07-30 01:00:47,2024-08-03 01:00:47
REV_000062,ORD_0000079,5,Excellent,Good quality,2024-11-21 22:45:41,2024-11-24 22:45:41
REV_000063,ORD_0000081,5,Terrible,,2024-02-23 01:27:17,2024-02-24 01:27:17
REV_000064,ORD_0000082,5,Excellent,OK,2025-01-09 04:02:09,2025-01-10 04:02:09
REV_000065,ORD_0000083,5,Excellent,Not as described,2024-05-31 18:35:22,2024-06-04 18:35:22
REV_000066,ORD_0000084,5,OK,OK,2025-03-25 16:10:26,2025-03-30 16:10:26
REV_000067,ORD_0000085,1,Excellent,OK,2023-08-12 21:21:21,2023-08-16 21:21:21
REV_000068,ORD_0000087,5,Excellent,Took too long,2024-10-19 07:02:43,2024-10-24 07:02:43
REV_000069,ORD_0000088,4,,Love it,2024-07-05 11:32:51,2024-07-07 11:32:51
REV_000070,ORD_0000090,5,,Not as described,2023-02-01 20:04:13,2023-02-05 20:04:13
REV_000071,ORD_0000092,5,Terrible,Took too long,2023-03-04 14:45:21,2023-03-06 14:45:21
REV_000072,ORD_0000094,4,,Not as described,2023-12-29 00:24:43,2024-01-01 00:24:43
REV_000073,ORD_0000095,5,Bad,Took too long,2025-02-23 18:02:44,2025-02-24 18:02:44
REV_000074,ORD_0000096,2,Excellent,Not as described,2023-05-14 09:48:59,2023-05-15 09:48:59
