seller_id,seller_zip_code,seller_city,seller_state
SELL_0001,83713,Curitiba,PR
SELL_0002,64592,São Paulo,SP
SELL_0003,27575,Rio de Janeiro,RJ
SELL_0004,43422,São Paulo,SP
SELL_0005,94765,São Paulo,SP
SELL_0006,68954,São Paulo,SP
SELL_0007,22119,Porto Alegre,RS
SELL_0008,34966,Rio de Janeiro,RJ
SELL_0009,59436,São Paulo,SP
SELL_0010,89026,Rio de Janeiro,RJ
SELL_0011,19539,São Paulo,SP
SELL_0012,87015,São Paulo,SP
SELL_0013,83249,Belo Horizonte,MG
SELL_0014,37379,São Paulo,SP
SELL_0015,53642,Porto Alegre,RS
SELL_0016,12009,São Paulo,SP
SELL_0017,34906,São Paulo,SP
SELL_0018,25376,Florianópolis,SC
SELL_0019,72773,Belo Horizonte,MG
SELL_0020,89220,Curitiba,PR
SELL_0021,61987,Belo Horizonte,MG
SELL_0022,82362,Curitiba,PR
SELL_0023,47101,São Paulo,SP
SELL_0024,79946,São Paulo,SP
SELL_0025,50425,Rio de Janeiro,RJ
SELL_0026,77215,São Paulo,SP
SELL_0027,71080,Porto Alegre,RS
SELL_0028,71537,São Paulo,SP
SELL_0029,51973,Belo Horizonte,MG
SELL_0030,58589,Curitiba,PR
SELL_0031,15992,São Paulo,SP
SELL_0032,39002,Rio de Janeiro,RJ
SELL_0033,12125,Belo Horizonte,MG
SELL_0034,86550,São Paulo,SP
SELL_0035,64732,Rio de Janeiro,RJ
SELL_0036,35715,São Paulo,SP
SELL_0037,59786,São Paulo,SP
SELL_0038,42208,Rio de Janeiro,RJ
SELL_0039,95800,São Paulo,SP
SELL_0040,54245,Curitiba,PR
SELL_0041,74044,São Paulo,SP
SELL_0042,94108,Florianópolis,SC
SELL_0043,70401,Belo Horizonte,MG
SELL_0044,56160,São Paulo,SP
SELL_0045,81636,São Paulo,SP
SELL_0046,81058,São Paulo,SP
SELL_0047,17698,Florianópolis,SC
SELL_0048,19742,Rio de Janeiro,RJ
SELL_0049,97584,Curitiba,PR
SELL_0050,10836,São Paulo,SP
