order_id,payment_sequential,payment_type,payment_installments,payment_value
ORD_0000001,1,credit_card,2,208.72
ORD_0000002,1,boleto,1,369.22
ORD_0000003,1,credit_card,6,546.87
ORD_0000004,1,credit_card,1,200.79
ORD_0000005,1,credit_card,1,901.01
ORD_0000006,1,credit_card,10,117.32
ORD_0000007,1,credit_card,10,531.34
ORD_0000008,1,credit_card,10,105.78
ORD_0000009,1,credit_card,1,181.79
ORD_0000010,1,boleto,1,149.37
ORD_0000011,1,credit_card,6,61.47
ORD_0000012,1,credit_card,1,69.13
ORD_0000013,1,credit_card,1,392.07
ORD_0000014,1,credit_card,3,415.29
ORD_0000015,1,credit_card,6,258.55
ORD_0000016,1,debit_card,1,524.95
ORD_0000017,1,credit_card,1,93.18
ORD_0000018,1,credit_card,6,199.16
ORD_0000019,1,credit_card,10,54.54
ORD_0000020,1,debit_card,1,110.12
ORD_0000021,1,credit_card,1,368.36
ORD_0000022,1,credit_card,4,120.23
ORD_0000023,1,credit_card,1,174.64
ORD_0000024,1,boleto,1,52.73
ORD_0000025,1,credit_card,1,242.24
ORD_0000026,1,debit_card,1,450.23
ORD_0000027,1,credit_card,3,80.99
ORD_0000028,1,boleto,1,533.59
ORD_0000029,1,credit_card,6,506.04
ORD_0000030,1,credit_card,1,86.04
ORD_0000031,1,boleto,1,132.61
ORD_0000032,1,credit_card,3,190.94
ORD_0000033,1,credit_card,10,133.81
ORD_0000034,1,credit_card,6,405.91
ORD_0000035,1,credit_card,6,676.91
ORD_0000036,1,boleto,1,757.6
ORD_0000037,1,credit_card,10,290.88
ORD_0000038,1,credit_card,1,134.32
ORD_0000039,1,credit_card,3,32.06
ORD_0000040,1,boleto,1,104.07
ORD_0000041,1,credit_card,1,426.21
ORD_0000042,1,credit_card,2,225.71
ORD_0000043,1,credit_card,3,128.49
ORD_0000044,1,credit_card,3,103.77
ORD_0000045,1,credit_card,6,1455.07
ORD_0000046,1,credit_card,4,174.28
ORD_0000047,1,credit_card,10,199.98
ORD_0000048,1,credit_card,1,58.15
ORD_0000049,1,boleto,1,130.92
ORD_0000050,1,boleto,1,724.34
ORD_0000051,1,credit_card,1,194.76
ORD_0000052,1,boleto,1,120.99
ORD_0000053,1,credit_card,10,82.03
ORD_0000054,1,credit_card,10,165.08
ORD_0000055,1,credit_card,1,296.71
ORD_0000056,1,credit_card,6,140.49
ORD_0000057,1,boleto,1,201.28
ORD_0000058,1,credit_card,3,184.5
ORD_0000059,1,credit_card,1,112.66
ORD_0000060,1,credit_card,1,323.57
ORD_0000061,1,credit_card,6,175.52
ORD_0000062,1,credit_card,1,252.78
ORD_0000063,1,boleto,1,235.87
ORD_0000064,1,credit_card,1,603.88
ORD_0000065,1,credit_card,1,314.24
ORD_0000066,1,boleto,1,407.26
ORD_0000067,1,credit_card,6,229.92
ORD_0000068,1,voucher,1,59.25
ORD_0000069,1,boleto,1,314.99
ORD_0000070,1,credit_card,2,268.12
ORD_0000071,1,credit_card,2,199.09
ORD_0000072,1,credit_card,1,184.7
ORD_0000073,1,credit_card,2,417.48
ORD_0000074,1,credit_card,2,165.66
ORD_0000075,1,boleto,1,111.99
ORD_0000076,1,credit_card,1,323.49
ORD_0000077,1,credit_card,6,216.19
ORD_0000078,1,credit_card,3,227.4
ORD_0000079,1,credit_card,1,707.3
ORD_0000080,1,boleto,1,172.8
ORD_0000081,1,credit_card,1,1112.04
ORD_0000082,1,credit_card,3,178.05
ORD_0000083,1,boleto,1,152.26
ORD_0000084,1,voucher,1,246.77
ORD_0000085,1,credit_card,6,195.56
ORD_0000086,1,credit_card,2,511.85
ORD_0000087,1,boleto,1,462.55
ORD_0000088,1,boleto,1,195.61
ORD_0000089,1,credit_card,10,45.97
ORD_0000090,1,credit_card,2,252.76
ORD_0000091,1,credit_card,1,263.19
ORD_0000092,1,credit_card,4,302.27
ORD_0000093,1,credit_card,1,402.09
ORD_0000094,1,credit_card,10,324.22
ORD_0000095,1,voucher,1,215.3
ORD_0000096,1,credit_card,3,84.72
ORD_0000097,1,boleto,1,121.97
ORD_0000098,1,credit_card,6,85.16
ORD_0000099,1,debit_card,1,231.6
ORD_0000100,1,credit_card,1,474.0
ORD_0000101,1,boleto,1,96.32
ORD_0000102,1,boleto,1,413.98
ORD_0000103,1,credit_card,3,656.34
ORD_0000104,1,debit_card,1,50.03
ORD_0000105,1,credit_card,1,271.08
ORD_0000106,1,boleto,1,369.07
ORD_0000107,1,credit_card,10,589.96
ORD_0000108,1,credit_card,3,38.8
ORD_0000109,1,credit_card,1,48.42
ORD_0000110,1,boleto,1,211.96
ORD_0000111,1,boleto,1,127.74
ORD_0000112,1,debit_card,1,163.93
ORD_0000113,1,credit_card,6,232.36
ORD_0000114,1,credit_card,1,290.94
ORD_0000115,1,credit_card,2,69.33
ORD_0000116,1,boleto,1,717.17
ORD_0000117,1,credit_card,10,77.4
ORD_0000118,1,credit_card,2,192.29
ORD_0000119,1,credit_card,1,373.28
ORD_0000120,1,credit_card,1,211.72
ORD_0000121,1,debit_card,1,68.24
ORD_0000122,1,credit_card,10,344.64
ORD_0000123,1,credit_card,1,146.66
ORD_0000124,1,boleto,1,86.05
ORD_0000125,1,credit_card,1,620.16
ORD_0000126,1,credit_card,1,415.28
ORD_0000127,1,credit_card,2,103.19
ORD_0000128,1,credit_card,1,315.93
ORD_0000129,1,credit_card,1,68.35
ORD_0000130,1,credit_card,2,83.12
ORD_0000131,1,credit_card,1,575.84
ORD_0000132,1,credit_card,6,134.92
ORD_0000133,1,credit_card,6,110.2
ORD_0000134,1,credit_card,1,334.82
ORD_0000135,1,credit_card,10,88.47
ORD_0000136,1,credit_card,1,957.02
ORD_0000137,1,credit_card,1,243.92
ORD_0000138,1,boleto,1,317.47
ORD_0000139,1,credit_card,6,59.47
ORD_0000140,1,boleto,1,762.3
ORD_0000141,1,credit_card,2,183.89
ORD_0000142,1,boleto,1,369.83
ORD_0000143,1,credit_card,4,361.32
ORD_0000144,1,credit_card,1,57.35
ORD_0000145,1,credit_card,1,471.01
ORD_0000146,1,boleto,1,208.7
ORD_0000147,1,credit_card,1,431.27
ORD_0000148,1,credit_card,3,58.26
ORD_0000149,1,credit_card,4,254.61
ORD_0000150,1,boleto,1,32.55
ORD_0000151,1,boleto,1,117.37
ORD_0000152,1,credit_card,2,70.01
ORD_0000153,1,credit_card,1,338.98
ORD_0000154,1,credit_card,6,190.31
ORD_0000155,1,boleto,1,113.43
ORD_0000156,1,credit_card,3,171.32
ORD_0000157,1,boleto,1,63.52
ORD_0000158,1,boleto,1,332.22
ORD_0000159,1,credit_card,10,130.79
ORD_0000160,1,boleto,1,183.23
ORD_0000161,1,credit_card,1,68.07
ORD_0000162,1,credit_card,6,364.56
ORD_0000163,1,credit_card,1,460.07
ORD_0000164,1,credit_card,6,213.12
ORD_0000165,1,boleto,1,436.11
ORD_0000166,1,credit_card,1,526.99
ORD_0000167,1,credit_card,2,226.11
ORD_0000168,1,debit_card,1,92.03
ORD_0000169,1,credit_card,10,80.22
ORD_0000170,1,credit_card,1,557.93
ORD_0000171,1,credit_card,3,470.78
ORD_0000172,1,boleto,1,429.54
ORD_0000173,1,credit_card,1,206.79
ORD_0000174,1,credit_card,2,144.9
ORD_0000175,1,credit_card,2,132.61
ORD_0000176,1,credit_card,1,139.76
ORD_0000177,1,credit_card,6,386.83
ORD_0000178,1,credit_card,10,321.38
ORD_0000179,1,boleto,1,216.9
ORD_0000180,1,credit_card,6,58.27
ORD_0000181,1,credit_card,1,385.45
ORD_0000182,1,credit_card,10,168.57
ORD_0000183,1,boleto,1,26.0
ORD_0000184,1,credit_card,1,358.12
ORD_0000185,1,credit_card,6,125.9
ORD_0000186,1,credit_card,10,240.26
ORD_0000187,1,boleto,1,242.3
ORD_0000188,1,credit_card,6,211.8
ORD_0000189,1,credit_card,2,136.21
ORD_0000190,1,credit_card,1,265.71
ORD_0000191,1,credit_card,4,619.69
ORD_0000192,1,credit_card,1,108.77
ORD_0000193,1,credit_card,3,129.07
ORD_0000194,1,voucher,1,238.47
ORD_0000195,1,credit_card,1,203.27
ORD_0000196,1,credit_card,4,322.76
ORD_0000197,1,boleto,1,11.81
ORD_0000198,1,boleto,1,235.55
ORD_0000199,1,boleto,1,605.74
ORD_0000200,1,credit_card,4,51.65
ORD_0000201,1,voucher,1,542.9
ORD_0000202,1,credit_card,10,201.35
ORD_0000203,1,credit_card,1,566.24
ORD_0000204,1,credit_card,1,241.18
ORD_0000205,1,credit_card,6,178.29
ORD_0000206,1,credit_card,1,267.79
ORD_0000207,1,credit_card,1,109.81
ORD_0000208,1,credit_card,6,116.4
ORD_0000209,1,boleto,1,235.98
ORD_0000210,1,credit_card,1,275.75
ORD_0000211,1,credit_card,10,112.83
ORD_0000212,1,credit_card,1,457.89
ORD_0000213,1,credit_card,3,224.66
ORD_0000214,1,credit_card,4,400.54
ORD_0000215,1,credit_card,1,1151.57
ORD_0000216,1,credit_card,4,222.95
ORD_0000217,1,credit_card,4,35.34
ORD_0000218,1,credit_card,1,177.44
ORD_0000219,1,credit_card,1,50.7
ORD_0000220,1,credit_card,1,172.6
ORD_0000221,1,credit_card,4,278.9
ORD_0000222,1,credit_card,1,119.27
ORD_0000223,1,credit_card,1,410.53
ORD_0000224,1,boleto,1,437.44
ORD_0000225,1,credit_card,6,51.82
ORD_0000226,1,credit_card,4,190.4
ORD_0000227,1,credit_card,1,56.13
ORD_0000228,1,credit_card,2,139.22
ORD_0000229,1,boleto,1,117.33
ORD_0000230,1,credit_card,10,357.7
ORD_0000231,1,debit_card,1,109.73
ORD_0000232,1,credit_card,4,382.84
ORD_0000233,1,boleto,1,186.24
ORD_0000234,1,boleto,1,129.16
ORD_0000235,1,credit_card,1,114.4
ORD_0000236,1,credit_card,1,148.54
ORD_0000237,1,credit_card,3,805.21
ORD_0000238,1,credit_card,2,86.01
ORD_0000239,1,credit_card,6,468.31
ORD_0000240,1,credit_card,4,269.99
ORD_0000241,1,credit_card,1,46.9
ORD_0000242,1,credit_card,4,62.57
ORD_0000243,1,boleto,1,298.34
ORD_0000244,1,credit_card,1,199.84
ORD_0000245,1,credit_card,4,119.24
ORD_0000246,1,voucher,1,102.57
ORD_0000247,1,credit_card,10,445.85
ORD_0000248,1,boleto,1,173.47
ORD_0000249,1,credit_card,1,122.75
ORD_0000250,1,credit_card,6,104.25
ORD_0000251,1,credit_card,1,534.58
ORD_0000252,1,credit_card,2,357.02
ORD_0000253,1,boleto,1,943.61
ORD_0000254,1,boleto,1,465.66
ORD_0000255,1,credit_card,1,64.88
ORD_0000256,1,credit_card,1,104.64
ORD_0000257,1,credit_card,6,753.7
ORD_0000258,1,credit_card,1,30.98
ORD_0000259,1,credit_card,10,145.72
ORD_0000260,1,credit_card,1,366.4
ORD_0000261,1,boleto,1,167.71
ORD_0000262,1,credit_card,3,253.07
ORD_0000263,1,credit_card,4,829.57
ORD_0000264,1,credit_card,2,349.49
ORD_0000265,1,boleto,1,739.34
ORD_0000266,1,credit_card,10,67.06
ORD_0000267,1,credit_card,2,211.93
ORD_0000268,1,boleto,1,112.08
ORD_0000269,1,credit_card,1,284.7
ORD_0000270,1,credit_card,3,471.92
ORD_0000271,1,voucher,1,72.21
ORD_0000272,1,boleto,1,85.99
ORD_0000273,1,credit_card,1,65.45
ORD_0000274,1,voucher,1,332.61
ORD_0000275,1,boleto,1,292.02
ORD_0000276,1,credit_card,1,119.28
ORD_0000277,1,voucher,1,114.23
ORD_0000278,1,credit_card,3,76.45
ORD_0000279,1,boleto,1,936.93
ORD_0000280,1,credit_card,1,213.55
ORD_0000281,1,credit_card,4,111.5
ORD_0000282,1,credit_card,4,136.89
ORD_0000283,1,boleto,1,355.83
ORD_0000284,1,credit_card,6,94.68
ORD_0000285,1,credit_card,1,264.54
ORD_0000286,1,credit_card,3,624.99
ORD_0000287,1,credit_card,4,449.42
ORD_0000288,1,credit_card,2,146.77
ORD_0000289,1,credit_card,1,53.03
ORD_0000290,1,credit_card,1,64.2
ORD_0000291,1,credit_card,3,170.14
ORD_0000292,1,voucher,1,216.13
ORD_0000293,1,credit_card,6,25.1
ORD_0000294,1,credit_card,2,296.35
ORD_0000295,1,debit_card,1,326.1
ORD_0000296,1,debit_card,1,513.0
ORD_0000297,1,boleto,1,278.68
ORD_0000298,1,boleto,1,390.51
ORD_0000299,1,credit_card,3,344.45
ORD_0000300,1,voucher,1,74.99
ORD_0000301,1,credit_card,2,260.44
ORD_0000302,1,credit_card,3,165.33
ORD_0000303,1,credit_card,1,97.04
ORD_0000304,1,credit_card,4,240.98
ORD_0000305,1,credit_card,10,366.32
